X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,class
0.818,0.661,0.561,0.829,0.999,0.673,0.444,0.364,0.653,0.36,0.0
0.694,0.016,0.618,0.24,0.057,0.603,0.415,0.391,0.797,0.814,1.0
0.227,0.843,0.821,0.502,0.936,0.06,0.405,0.516,0.008,0.585,0.0
0.206,0.22,0.685,0.336,0.005,0.459,0.196,0.388,0.071,0.821,1.0
0.651,0.399,0.289,0.145,0.428,0.681,0.247,0.795,0.582,0.596,1.0
0.702,0.156,0.842,0.767,0.213,0.268,0.589,0.147,0.74,0.957,1.0
0.432,0.347,0.782,0.594,0.16,0.081,0.271,0.557,0.099,0.709,1.0
0.414,0.694,0.945,0.818,0.206,0.006,0.951,0.147,0.297,0.104,0.0
0.136,0.451,0.497,0.96,0.687,0.441,0.119,0.016,0.02,0.497,1.0
0.343,0.442,0.621,0.401,0.486,0.607,0.315,0.882,0.238,0.526,1.0
0.613,0.572,0.822,0.391,0.654,0.735,0.038,0.762,0.61,0.897,0.0
0.65,0.168,0.308,0.788,0.273,0.254,0.96,0.51,0.538,0.142,1.0
0.594,0.185,0.309,0.371,0.31,0.909,0.037,0.909,0.983,0.567,1.0
0.33,0.305,0.409,0.525,0.169,0.323,0.763,0.165,0.78,0.159,1.0
0.271,0.967,0.375,0.064,0.356,0.202,0.74,0.98,0.544,0.747,1.0
0.895,0.457,0.54,0.521,0.627,0.127,0.795,0.357,0.714,0.75,0.0
0.635,0.539,0.845,0.248,0.264,0.125,0.046,0.759,0.594,0.397,1.0
0.104,0.459,0.898,0.777,0.07,0.578,0.523,0.332,0.584,0.735,1.0
0.251,0.34,0.325,0.133,0.578,0.818,0.899,0.937,0.554,0.612,1.0
0.575,0.511,0.731,0.318,0.685,0.949,0.302,0.825,0.218,0.871,0.0
0.054,0.925,0.065,0.267,0.206,0.314,0.404,0.803,0.142,0.179,1.0
0.285,0.838,0.251,0.462,0.891,0.079,0.496,0.836,0.952,0.545,0.0
0.306,0.941,0.1,0.507,0.727,0.377,0.74,0.044,0.57,0.04,0.0
0.64,0.501,0.765,0.447,0.236,0.577,0.292,0.14,0.784,0.374,0.0
0.623,0.192,0.485,0.653,0.207,0.258,0.918,0.382,0.132,0.574,1.0
0.21,0.492,0.495,0.98,0.569,0.581,0.945,0.249,0.978,0.966,0.0
0.541,0.166,0.162,0.698,0.818,0.227,0.89,0.382,0.703,0.067,0.0
0.27,0.668,0.286,0.237,0.003,0.442,0.637,0.537,0.844,0.168,1.0
0.317,0.81,0.153,0.641,0.464,0.097,0.718,0.358,0.382,0.112,0.0
0.729,0.085,0.567,0.494,0.524,0.649,0.377,0.736,0.149,0.206,1.0
0.733,0.119,0.911,0.055,0.958,0.889,0.08,0.774,0.241,0.82,1.0
0.467,0.449,0.849,0.353,0.748,0.205,0.753,0.503,0.867,0.953,0.0
0.853,0.645,0.773,0.835,0.054,0.675,0.134,0.884,0.319,0.889,0.0
0.486,0.379,0.004,0.96,0.166,0.893,0.19,0.081,0.874,0.503,0.0
0.132,0.371,0.589,0.998,0.847,0.86,0.932,0.555,0.701,0.327,0.0
0.321,0.755,0.927,0.71,0.285,0.393,0.708,0.727,0.751,0.044,0.0
0.557,0.914,0.888,0.833,0.796,0.762,0.476,0.523,0.78,0.718,0.0
0.077,0.311,0.236,0.021,0.719,0.705,0.575,0.688,0.715,0.179,1.0
0.719,0.683,0.511,0.971,0.758,0.583,0.913,0.039,0.307,0.337,0.0
0.239,0.763,0.766,0.973,0.817,0.898,0.302,0.581,0.473,0.087,0.0
0.645,0.274,0.509,0.534,0.578,0.681,0.643,0.559,0.849,0.472,1.0
0.295,0.16,0.255,0.459,0.634,0.791,0.929,0.492,0.251,0.772,1.0
0.792,0.787,0.025,0.426,0.348,0.217,0.552,0.837,0.804,0.008,0.0
0.817,0.227,0.462,0.749,0.795,0.002,0.307,0.542,0.459,0.651,0.0
0.299,0.416,0.035,0.951,0.463,0.475,0.088,0.453,0.772,0.797,0.0
0.521,0.691,0.648,0.287,0.88,0.919,0.312,0.635,0.572,0.588,0.0
0.598,0.434,0.019,0.42,0.978,0.953,0.708,0.429,0.822,0.897,0.0
0.651,0.807,0.514,0.447,0.922,0.497,0.377,0.901,0.082,0.114,0.0
0.389,0.624,0.148,0.28,0.924,0.922,0.758,0.792,0.289,0.304,0.0
0.818,0.157,0.809,0.899,0.373,0.809,0.725,0.04,0.959,0.751,0.0
0.533,0.432,0.256,0.935,0.779,0.248,0.47,0.826,0.396,0.794,0.0
0.966,0.741,0.753,0.912,0.607,0.828,0.277,0.171,0.982,0.507,0.0
0.245,0.813,0.804,0.563,0.64,0.478,0.888,0.658,0.777,0.418,0.0
0.57,0.742,0.572,0.92,0.83,0.678,0.165,0.937,0.459,0.972,0.0
0.329,0.57,0.263,0.231,0.735,0.996,0.059,0.784,0.443,0.633,0.0
0.517,0.942,0.605,0.209,0.341,0.789,0.775,0.642,0.413,0.015,1.0
0.024,0.153,0.672,0.79,0.536,0.911,0.107,0.849,0.531,0.289,1.0
0.445,0.629,0.149,0.621,0.532,0.309,0.597,0.167,0.914,0.451,0.0
0.196,0.002,0.282,0.433,0.435,0.456,0.129,0.733,0.78,0.023,1.0
0.752,0.439,0.614,0.459,0.687,0.314,0.724,0.678,0.609,0.464,0.0
0.265,0.017,0.555,0.483,0.95,0.85,0.669,0.547,0.971,0.56,1.0
0.958,0.591,0.248,0.465,0.725,0.709,0.811,0.202,0.786,0.068,0.0
0.496,0.963,0.618,0.774,0.467,0.846,0.435,0.346,0.617,0.788,0.0
0.511,0.449,0.063,0.957,0.554,0.398,0.458,0.426,0.787,0.636,0.0
0.906,0.26,0.824,0.747,0.942,0.621,0.708,0.627,0.693,0.673,0.0
0.524,0.456,0.01,0.711,0.038,0.227,0.515,0.011,0.252,0.503,0.0
0.266,0.373,0.827,0.108,0.488,0.086,0.669,0.187,0.961,0.418,1.0
0.57,0.541,0.948,0.011,0.034,0.693,0.272,0.917,0.933,0.132,1.0
0.058,0.829,0.242,0.187,0.066,0.469,0.043,0.174,0.978,0.847,1.0
0.305,0.397,0.908,0.535,0.296,0.919,0.536,0.711,0.862,0.81,0.0
0.505,0.973,0.791,0.199,0.494,0.164,0.945,0.46,0.796,0.284,0.0
0.44,0.424,0.186,0.728,0.644,0.247,0.486,0.357,0.42,0.42,0.0
0.208,0.905,0.479,0.205,0.636,0.237,0.324,0.874,0.614,0.721,1.0
0.231,0.339,0.126,0.246,0.299,0.611,0.893,0.553,0.568,0.63,1.0
0.102,0.914,0.377,0.232,0.503,0.142,0.264,0.051,0.273,0.084,1.0
0.781,0.175,0.413,0.133,0.871,0.068,0.285,0.903,0.835,0.868,1.0
0.532,0.275,0.302,0.011,0.58,0.946,0.424,0.553,0.769,0.49,1.0
0.543,0.373,0.064,0.343,0.83,0.642,0.911,0.579,0.766,0.738,0.0
0.448,0.688,0.782,0.792,0.687,0.465,0.663,0.025,0.348,0.331,0.0
